race_id,date,round
19500513,1950-05-13,1
19500521,1950-05-21,2
19500530,1950-05-30,3
19500604,1950-06-04,4
19500618,1950-06-18,5
19500702,1950-07-02,6
19500903,1950-09-03,7
19510527,1951-05-27,1
19510530,1951-05-30,2
19510617,1951-06-17,3
19510701,1951-07-01,4
19510714,1951-07-14,5
19510729,1951-07-29,6
19510916,1951-09-16,7
19511028,1951-10-28,8
19520518,1952-05-18,1
19520530,1952-05-30,2
19520622,1952-06-22,3
19520706,1952-07-06,4
19520719,1952-07-19,5
19520803,1952-08-03,6
19520817,1952-08-17,7
19520907,1952-09-07,8
19530118,1953-01-18,1
19530530,1953-05-30,2
19530607,1953-06-07,3
19530621,1953-06-21,4
19530705,1953-07-05,5
19530718,1953-07-18,6
19530802,1953-08-02,7
19530823,1953-08-23,8
19530913,1953-09-13,9
19540117,1954-01-17,1
19540531,1954-05-31,2
19540620,1954-06-20,3
19540704,1954-07-04,4
19540717,1954-07-17,5
19540801,1954-08-01,6
19540822,1954-08-22,7
19540905,1954-09-05,8
19541024,1954-10-24,9
19550116,1955-01-16,1
19550522,1955-05-22,2
19550530,1955-05-30,3
19550605,1955-06-05,4
19550619,1955-06-19,5
19550716,1955-07-16,6
19550911,1955-09-11,7
19560122,1956-01-22,1
19560513,1956-05-13,2
19560530,1956-05-30,3
19560603,1956-06-03,4
19560701,1956-07-01,5
19560714,1956-07-14,6
19560805,1956-08-05,7
19560902,1956-09-02,8
19570113,1957-01-13,1
19570519,1957-05-19,2
19570530,1957-05-30,3
19570707,1957-07-07,4
19570720,1957-07-20,5
19570804,1957-08-04,6
19570818,1957-08-18,7
19570908,1957-09-08,8
19580119,1958-01-19,1
19580518,1958-05-18,2
19580526,1958-05-26,3
19580530,1958-05-30,4
19580615,1958-06-15,5
19580706,1958-07-06,6
19580719,1958-07-19,7
19580803,1958-08-03,8
19580824,1958-08-24,9
19580907,1958-09-07,10
19581019,1958-10-19,11
19590510,1959-05-10,1
19590530,1959-05-30,2
19590531,1959-05-31,3
19590705,1959-07-05,4
19590718,1959-07-18,5
19590802,1959-08-02,6
19590823,1959-08-23,7
19590913,1959-09-13,8
19591212,1959-12-12,9
19600207,1960-02-07,1
19600529,1960-05-29,2
19600530,1960-05-30,3
19600606,1960-06-06,4
19600619,1960-06-19,5
19600703,1960-07-03,6
19600716,1960-07-16,7
19600814,1960-08-14,8
19600904,1960-09-04,9
19601120,1960-11-20,10
19610514,1961-05-14,1
19610522,1961-05-22,2
19610618,1961-06-18,3
19610702,1961-07-02,4
19610715,1961-07-15,5
19610806,1961-08-06,6
19610910,1961-09-10,7
19611008,1961-10-08,8
19620520,1962-05-20,1
19620603,1962-06-03,2
19620617,1962-06-17,3
19620708,1962-07-08,4
19620721,1962-07-21,5
19620805,1962-08-05,6
19620916,1962-09-16,7
19621007,1962-10-07,8
19621229,1962-12-29,9
19630526,1963-05-26,1
19630609,1963-06-09,2
19630623,1963-06-23,3
19630630,1963-06-30,4
19630720,1963-07-20,5
19630804,1963-08-04,6
19630908,1963-09-08,7
19631006,1963-10-06,8
19631027,1963-10-27,9
19631228,1963-12-28,10
19640510,1964-05-10,1
19640524,1964-05-24,2
19640614,1964-06-14,3
19640628,1964-06-28,4
19640711,1964-07-11,5
19640802,1964-08-02,6
19640823,1964-08-23,7
19640906,1964-09-06,8
19641004,1964-10-04,9
19641025,1964-10-25,10
19650101,1965-01-01,1
19650530,1965-05-30,2
19650613,1965-06-13,3
19650627,1965-06-27,4
19650710,1965-07-10,5
19650718,1965-07-18,6
19650801,1965-08-01,7
19650912,1965-09-12,8
19651003,1965-10-03,9
19651024,1965-10-24,10
19660522,1966-05-22,1
19660612,1966-06-12,2
19660703,1966-07-03,3
19660716,1966-07-16,4
19660724,1966-07-24,5
19660807,1966-08-07,6
19660904,1966-09-04,7
19661002,1966-10-02,8
19661023,1966-10-23,9
19670102,1967-01-02,1
19670507,1967-05-07,2
19670604,1967-06-04,3
19670618,1967-06-18,4
19670702,1967-07-02,5
19670715,1967-07-15,6
19670806,1967-08-06,7
19670827,1967-08-27,8
19670910,1967-09-10,9
19671001,1967-10-01,10
19671022,1967-10-22,11
19680101,1968-01-01,1
19680512,1968-05-12,2
19680526,1968-05-26,3
19680609,1968-06-09,4
19680623,1968-06-23,5
19680707,1968-07-07,6
19680720,1968-07-20,7
