pit_id,race_id,driver_id,constructor_id,circuit_id,stop_number,lap_number,pit_time
1,20110327,alguersuari,toro_rosso,albert_park,1,1,26898
2,20110327,michael_schumacher,mercedes,albert_park,1,1,25021
3,20110327,webber,red_bull,albert_park,1,11,23426
4,20110327,alonso,ferrari,albert_park,1,12,23251
5,20110327,massa,ferrari,albert_park,1,13,23842
6,20110327,barrichello,williams,albert_park,1,13,23643
7,20110327,vettel,red_bull,albert_park,1,14,22603
8,20110327,resta,force_india,albert_park,1,14,24863
9,20110327,ambrosio,virgin,albert_park,1,14,25259
10,20110327,buemi,toro_rosso,albert_park,1,15,25342
11,20110327,heidfeld,renault,albert_park,1,15,22994
12,20110327,hamilton,mclaren,albert_park,1,16,23227
13,20110327,petrov,renault,albert_park,1,16,24535
14,20110327,rosberg,mercedes,albert_park,1,16,23716
15,20110327,kobayashi,sauber,albert_park,1,16,24064
16,20110327,sutil,force_india,albert_park,1,16,25978
17,20110327,trulli,lotus_racing,albert_park,1,16,24899
18,20110327,button,mclaren,albert_park,1,17,16867
19,20110327,alguersuari,toro_rosso,albert_park,2,17,24463
20,20110327,kovalainen,lotus_racing,albert_park,1,17,24865
21,20110327,michael_schumacher,mercedes,albert_park,2,17,23988
22,20110327,glock,virgin,albert_park,1,18,23792
23,20110327,button,mclaren,albert_park,2,19,23303
24,20110327,perez,sauber,albert_park,1,23,23438
25,20110327,barrichello,williams,albert_park,2,23,37856
26,20110327,webber,red_bull,albert_park,2,26,22520
27,20110327,alonso,ferrari,albert_park,2,27,24733
28,20110327,barrichello,williams,albert_park,3,28,16892
29,20110327,buemi,toro_rosso,albert_park,2,29,23100
30,20110327,heidfeld,renault,albert_park,2,30,25098
31,20110327,massa,ferrari,albert_park,2,31,24500
32,20110327,kobayashi,sauber,albert_park,2,32,24192
33,20110327,vettel,red_bull,albert_park,2,36,24036
34,20110327,hamilton,mclaren,albert_park,2,36,23199
35,20110327,alguersuari,toro_rosso,albert_park,3,35,26348
36,20110327,petrov,renault,albert_park,2,36,25683
37,20110327,resta,force_india,albert_park,2,36,24332
38,20110327,button,mclaren,albert_park,3,37,22681
39,20110327,sutil,force_india,albert_park,2,37,23871
40,20110327,trulli,lotus_racing,albert_park,2,37,24848
41,20110327,ambrosio,virgin,albert_park,2,38,26446
42,20110327,webber,red_bull,albert_park,3,41,26230
43,20110327,barrichello,williams,albert_park,4,40,26309
44,20110327,alonso,ferrari,albert_park,3,42,24181
45,20110327,massa,ferrari,albert_park,3,48,24095
46,20110410,sutil,force_india,sepang,1,3,31694
47,20110410,barrichello,williams,sepang,1,3,32978
48,20110410,webber,red_bull,sepang,1,10,22572
49,20110410,resta,force_india,sepang,1,11,22773
50,20110410,hamilton,mclaren,sepang,1,12,22552
51,20110410,vettel,red_bull,sepang,1,13,23019
52,20110410,heidfeld,renault,sepang,1,13,23900
53,20110410,button,mclaren,sepang,1,13,22400
54,20110410,massa,ferrari,sepang,1,13,29224
55,20110410,trulli,lotus_racing,sepang,1,13,25516
56,20110410,alonso,ferrari,sepang,1,14,23152
57,20110410,michael_schumacher,mercedes,sepang,1,14,22576
58,20110410,petrov,renault,sepang,1,15,23182
59,20110410,buemi,toro_rosso,sepang,1,15,23280
60,20110410,rosberg,mercedes,sepang,1,15,24967
61,20110410,kovalainen,lotus_racing,sepang,1,15,29084
62,20110410,alguersuari,toro_rosso,sepang,1,16,23584
63,20110410,sutil,force_india,sepang,2,16,22046
64,20110410,kobayashi,sauber,sepang,1,17,23280
65,20110410,perez,sauber,sepang,1,17,23597
66,20110410,glock,virgin,sepang,1,17,24617
67,20110410,ambrosio,virgin,sepang,1,17,26252
68,20110410,liuzzi,hrt,sepang,1,17,27815
69,20110410,barrichello,williams,sepang,2,17,24502
70,20110410,buemi,toro_rosso,sepang,2,20,29843
71,20110410,webber,red_bull,sepang,2,22,21991
72,20110410,button,mclaren,sepang,2,23,22471
73,20110410,hamilton,mclaren,sepang,2,24,22611
74,20110410,resta,force_india,sepang,2,24,22419
75,20110410,vettel,red_bull,sepang,2,25,21893
76,20110410,alonso,ferrari,sepang,2,26,23894
77,20110410,heidfeld,renault,sepang,2,26,23221
78,20110410,massa,ferrari,sepang,2,27,22541
79,20110410,petrov,renault,sepang,2,27,22680
80,20110410,michael_schumacher,mercedes,sepang,2,28,22261
81,20110410,rosberg,mercedes,sepang,2,29,22577
82,20110410,webber,red_bull,sepang,3,32,22069
83,20110410,alguersuari,toro_rosso,sepang,2,32,22888
84,20110410,sutil,force_india,sepang,3,32,22550
85,20110410,buemi,toro_rosso,sepang,3,32,27439
86,20110410,kovalainen,lotus_racing,sepang,2,34,23336
87,20110410,glock,virgin,sepang,2,34,24429
88,20110410,ambrosio,virgin,sepang,2,35,24416
89,20110410,kobayashi,sauber,sepang,2,36,23442
90,20110410,hamilton,mclaren,sepang,3,37,25382
91,20110410,resta,force_india,sepang,3,37,23977
92,20110410,button,mclaren,sepang,3,38,22483
93,20110410,massa,ferrari,sepang,3,38,22893
94,20110410,heidfeld,renault,sepang,3,39,22602
95,20110410,liuzzi,hrt,sepang,2,38,26554
96,20110410,rosberg,mercedes,sepang,3,40,22526
97,20110410,vettel,red_bull,sepang,3,41,22313
98,20110410,alonso,ferrari,sepang,3,41,23812
99,20110410,michael_schumacher,mercedes,sepang,3,42,22227
100,20110410,webber,red_bull,sepang,4,43,22161
101,20110410,petrov,renault,sepang,3,44,28694
102,20110410,alonso,ferrari,sepang,4,46,27182
103,20110410,liuzzi,hrt,sepang,3,44,38823
104,20110410,hamilton,mclaren,sepang,4,52,22466
105,20110417,alguersuari,toro_rosso,shanghai,1,9,22419
106,20110417,liuzzi,hrt,shanghai,1,9,14160
107,20110417,michael_schumacher,mercedes,shanghai,1,10,20522
108,20110417,webber,red_bull,shanghai,1,10,23442
109,20110417,maldonado,williams,shanghai,1,10,23160
110,20110417,resta,force_india,shanghai,1,11,21989
111,20110417,rosberg,mercedes,shanghai,1,12,20771
112,20110417,buemi,toro_rosso,shanghai,1,12,22010
113,20110417,button,mclaren,shanghai,1,14,23779
114,20110417,vettel,red_bull,shanghai,1,14,21995
115,20110417,kobayashi,sauber,shanghai,1,14,21855
116,20110417,massa,ferrari,shanghai,1,15,21624
117,20110417,hamilton,mclaren,shanghai,1,15,20878
118,20110417,sutil,force_india,shanghai,1,15,20989
119,20110417,alonso,ferrari,shanghai,1,16,22524
120,20110417,perez,sauber,shanghai,1,16,21473
121,20110417,barrichello,williams,shanghai,1,16,21709
122,20110417,buemi,toro_rosso,shanghai,2,16,24722
123,20110417,glock,virgin,shanghai,1,16,22683
124,20110417,petrov,renault,shanghai,1,17,21981
125,20110417,heidfeld,renault,shanghai,1,18,22216
126,20110417,kovalainen,lotus_racing,shanghai,1,19,22485
127,20110417,trulli,lotus_racing,shanghai,1,20,23029
128,20110417,ambrosio,virgin,shanghai,1,20,22901
129,20110417,liuzzi,hrt,shanghai,2,21,24467
130,20110417,karthikeyan,hrt,shanghai,1,23,26049
131,20110417,button,mclaren,shanghai,2,24,20758
132,20110417,rosberg,mercedes,shanghai,2,25,22005
133,20110417,hamilton,mclaren,shanghai,2,25,20533
134,20110417,webber,red_bull,shanghai,2,25,21132
135,20110417,maldonado,williams,shanghai,2,25,22062
136,20110417,michael_schumacher,mercedes,shanghai,2,26,21964
137,20110417,glock,virgin,shanghai,2,28,21908
138,20110417,sutil,force_india,shanghai,2,30,21058
139,20110417,kobayashi,sauber,shanghai,2,30,21936
140,20110417,heidfeld,renault,shanghai,2,30,21821
141,20110417,vettel,red_bull,shanghai,2,31,21533
142,20110417,alonso,ferrari,shanghai,2,32,21251
143,20110417,resta,force_india,shanghai,2,32,21218
144,20110417,massa,ferrari,shanghai,2,33,21168
