qualy_id,driver_id,constructor_id,circuit_id,race_id,q1,q2,q3
1,hamilton,mclaren,albert_park,20080316,86572,85187,86714
2,kubica,bmw_sauber,albert_park,20080316,86103,85315,86869
3,kovalainen,mclaren,albert_park,20080316,85664,85452,87079
4,massa,ferrari,albert_park,20080316,85994,85691,87178
5,heidfeld,bmw_sauber,albert_park,20080316,85960,85518,87236
6,trulli,toyota,albert_park,20080316,86427,86101,88527
7,rosberg,williams,albert_park,20080316,86295,86059,88687
8,coulthard,red_bull,albert_park,20080316,86381,86063,89041
9,glock,toyota,albert_park,20080316,86919,86164,89593
10,vettel,toro_rosso,albert_park,20080316,86702,85842,0
11,barrichello,honda,albert_park,20080316,86369,86173,0
12,alonso,renault,albert_park,20080316,86907,86188,0
13,button,honda,albert_park,20080316,86712,86259,0
14,nakajima,williams,albert_park,20080316,86891,86413,0
15,webber,red_bull,albert_park,20080316,86914,0,0
16,raikkonen,ferrari,albert_park,20080316,86140,0,0
17,fisichella,force_india,albert_park,20080316,87207,0,0
18,bourdais,toro_rosso,albert_park,20080316,87446,0,0
19,sutil,force_india,albert_park,20080316,87859,0,0
20,sato,super_aguri,albert_park,20080316,88208,0,0
21,piquet_jr,renault,albert_park,20080316,88330,0,0
22,davidson,super_aguri,albert_park,20080316,89059,0,0
23,massa,ferrari,sepang,20080323,95347,94412,95748
24,raikkonen,ferrari,sepang,20080323,95645,94188,96230
25,kovalainen,mclaren,sepang,20080323,95227,94759,96613
26,hamilton,mclaren,sepang,20080323,95392,94627,96709
27,trulli,toyota,sepang,20080323,95205,94960,96711
28,kubica,bmw_sauber,sepang,20080323,95794,94811,96727
29,heidfeld,bmw_sauber,sepang,20080323,95729,94648,96753
30,webber,red_bull,sepang,20080323,95440,94967,97009
31,alonso,renault,sepang,20080323,95983,95140,98450
32,glock,toyota,sepang,20080323,95891,95000,99656
33,button,honda,sepang,20080323,95847,95208,0
34,coulthard,red_bull,sepang,20080323,96058,95408,0
35,piquet_jr,renault,sepang,20080323,96074,95562,0
36,barrichello,honda,sepang,20080323,96198,95622,0
37,vettel,toro_rosso,sepang,20080323,96111,95648,0
38,rosberg,williams,sepang,20080323,95843,95670,0
39,fisichella,force_india,sepang,20080323,96240,0,0
40,nakajima,williams,sepang,20080323,96388,0,0
41,bourdais,toro_rosso,sepang,20080323,96677,0,0
42,sato,super_aguri,sepang,20080323,97087,0,0
43,sutil,force_india,sepang,20080323,97101,0,0
44,davidson,super_aguri,sepang,20080323,97481,0,0
45,kubica,bmw_sauber,bahrain,20080406,92893,91745,93096
46,massa,ferrari,bahrain,20080406,91937,91188,93123
47,hamilton,mclaren,bahrain,20080406,92750,91922,93292
48,raikkonen,ferrari,bahrain,20080406,92652,91933,93418
49,kovalainen,mclaren,bahrain,20080406,93057,91718,93488
50,heidfeld,bmw_sauber,bahrain,20080406,93137,91909,93737
51,trulli,toyota,bahrain,20080406,92493,92159,93994
52,rosberg,williams,bahrain,20080406,92903,92185,94015
53,button,honda,bahrain,20080406,92793,92362,95057
54,alonso,renault,bahrain,20080406,92947,92345,95115
55,webber,red_bull,bahrain,20080406,93194,92371,0
56,barrichello,honda,bahrain,20080406,92944,92508,0
57,glock,toyota,bahrain,20080406,92800,92528,0
58,piquet_jr,renault,bahrain,20080406,92975,92790,0
59,bourdais,toro_rosso,bahrain,20080406,93415,92915,0
60,nakajima,williams,bahrain,20080406,93386,92943,0
61,coulthard,red_bull,bahrain,20080406,93433,0,0
62,fisichella,force_india,bahrain,20080406,93501,0,0
63,vettel,toro_rosso,bahrain,20080406,93562,0,0
64,sutil,force_india,bahrain,20080406,93845,0,0
65,davidson,super_aguri,bahrain,20080406,94140,0,0
66,sato,super_aguri,bahrain,20080406,95725,0,0
67,raikkonen,ferrari,catalunya,20080427,80701,80784,81813
68,alonso,renault,catalunya,20080427,81347,80804,81904
69,massa,ferrari,catalunya,20080427,81528,80584,82058
70,kubica,bmw_sauber,catalunya,20080427,81423,80597,82065
71,hamilton,mclaren,catalunya,20080427,81366,80825,82096
72,kovalainen,mclaren,catalunya,20080427,81430,80817,82231
73,webber,red_bull,catalunya,20080427,81494,80984,82429
74,trulli,toyota,catalunya,20080427,81158,80907,82529
75,heidfeld,bmw_sauber,catalunya,20080427,81466,80815,82542
76,piquet_jr,renault,catalunya,20080427,81409,80894,82699
77,barrichello,honda,catalunya,20080427,81548,81049,0
78,nakajima,williams,catalunya,20080427,81690,81117,0
79,button,honda,catalunya,20080427,81757,81211,0
80,glock,toyota,catalunya,20080427,81427,81230,0
81,rosberg,williams,catalunya,20080427,81472,81349,0
82,bourdais,toro_rosso,catalunya,20080427,81540,81724,0
83,coulthard,red_bull,catalunya,20080427,81810,0,0
84,vettel,toro_rosso,catalunya,20080427,82108,0,0
85,fisichella,force_india,catalunya,20080427,82516,0,0
86,sutil,force_india,catalunya,20080427,83224,0,0
87,davidson,super_aguri,catalunya,20080427,83318,0,0
88,sato,super_aguri,catalunya,20080427,83496,0,0
89,massa,ferrari,istanbul,20080511,85994,86192,87617
90,kovalainen,mclaren,istanbul,20080511,86736,86290,87808
91,hamilton,mclaren,istanbul,20080511,86192,86477,87923
92,raikkonen,ferrari,istanbul,20080511,86457,86050,87936
93,kubica,bmw_sauber,istanbul,20080511,86761,86129,88390
94,webber,red_bull,istanbul,20080511,86773,86466,88417
95,alonso,renault,istanbul,20080511,86836,86522,88422
96,trulli,toyota,istanbul,20080511,86695,86822,88836
97,heidfeld,bmw_sauber,istanbul,20080511,87107,87607,88882
98,coulthard,red_bull,istanbul,20080511,86939,86520,89959
99,rosberg,williams,istanbul,20080511,87367,87012,0
100,barrichello,honda,istanbul,20080511,87355,87219,0
101,button,honda,istanbul,20080511,87428,87298,0
102,vettel,toro_rosso,istanbul,20080511,87442,87412,0
103,glock,toyota,istanbul,20080511,86614,87806,0
104,nakajima,williams,istanbul,20080511,87547,0,0
105,piquet_jr,renault,istanbul,20080511,87568,0,0
106,bourdais,toro_rosso,istanbul,20080511,87621,0,0
107,fisichella,force_india,istanbul,20080511,87807,0,0
108,sutil,force_india,istanbul,20080511,88325,0,0
109,massa,ferrari,monaco,20080525,75190,75110,75787
110,raikkonen,ferrari,monaco,20080525,75717,75404,75815
111,hamilton,mclaren,monaco,20080525,75582,75322,75839
112,kovalainen,mclaren,monaco,20080525,75295,75389,76165
113,kubica,bmw_sauber,monaco,20080525,75977,75483,76171
114,rosberg,williams,monaco,20080525,75935,75287,76548
115,alonso,renault,monaco,20080525,76646,75827,76852
116,trulli,toyota,monaco,20080525,76306,75598,77203
117,webber,red_bull,monaco,20080525,76074,75745,77343
118,coulthard,red_bull,monaco,20080525,76086,75839,0
119,glock,toyota,monaco,20080525,76285,75907,0
120,button,honda,monaco,20080525,76259,76101,0
121,heidfeld,bmw_sauber,monaco,20080525,76650,76455,0
122,nakajima,williams,monaco,20080525,76756,76479,0
123,barrichello,honda,monaco,20080525,76208,76537,0
124,bourdais,toro_rosso,monaco,20080525,76806,0,0
125,piquet_jr,renault,monaco,20080525,76933,0,0
126,vettel,toro_rosso,monaco,20080525,76955,0,0
127,sutil,force_india,monaco,20080525,77225,0,0
128,fisichella,force_india,monaco,20080525,77823,0,0
129,hamilton,mclaren,villeneuve,20080608,76909,77034,77886
130,kubica,bmw_sauber,villeneuve,20080608,77471,77679,78498
131,raikkonen,ferrari,villeneuve,20080608,77301,77364,78735
132,alonso,renault,villeneuve,20080608,77415,77488,78746
133,rosberg,williams,villeneuve,20080608,77991,77891,78844
134,massa,ferrari,villeneuve,20080608,77231,77353,79048
135,kovalainen,mclaren,villeneuve,20080608,77287,77684,79089
136,heidfeld,bmw_sauber,villeneuve,20080608,78082,77781,79633
137,barrichello,honda,villeneuve,20080608,78256,78020,80848
138,webber,red_bull,villeneuve,20080608,77582,77523,0
139,glock,toyota,villeneuve,20080608,78321,78031,0
140,nakajima,williams,villeneuve,20080608,77638,78062,0
141,coulthard,red_bull,villeneuve,20080608,78168,78238,0
142,trulli,toyota,villeneuve,20080608,78039,78327,0
143,piquet_jr,renault,villeneuve,20080608,78505,78393,0
144,bourdais,toro_rosso,villeneuve,20080608,78916,0,0
145,sutil,force_india,villeneuve,20080608,79108,0,0
146,fisichella,force_india,villeneuve,20080608,79165,0,0
147,button,honda,villeneuve,20080608,83565,0,0
148,vettel,toro_rosso,villeneuve,20080608,0,0,0
149,raikkonen,ferrari,magny_cours,20080622,75133,75161,76449
150,massa,ferrari,magny_cours,20080622,75024,75041,76490
151,hamilton,mclaren,magny_cours,20080622,75634,75293,76693
152,alonso,renault,magny_cours,20080622,75754,75483,76840
153,trulli,toyota,magny_cours,20080622,75521,75362,76920
154,kovalainen,mclaren,magny_cours,20080622,75965,75639,76944
155,kubica,bmw_sauber,magny_cours,20080622,75687,75723,77037
156,webber,red_bull,magny_cours,20080622,76020,75488,77233
157,coulthard,red_bull,magny_cours,20080622,75802,75654,77426
158,glock,toyota,magny_cours,20080622,75727,75558,77596
159,piquet_jr,renault,magny_cours,20080622,75848,75770,0
160,heidfeld,bmw_sauber,magny_cours,20080622,76006,75786,0
161,vettel,toro_rosso,magny_cours,20080622,75918,75816,0
162,bourdais,toro_rosso,magny_cours,20080622,76072,76045,0
163,rosberg,williams,magny_cours,20080622,76085,76235,0
164,nakajima,williams,magny_cours,20080622,76243,0,0
165,button,honda,magny_cours,20080622,76306,0,0
166,barrichello,honda,magny_cours,20080622,76330,0,0
167,fisichella,force_india,magny_cours,20080622,76971,0,0
168,sutil,force_india,magny_cours,20080622,77053,0,0
169,kovalainen,mclaren,silverstone,20080706,79957,79597,81049
170,webber,red_bull,silverstone,20080706,80982,79710,81554
171,raikkonen,ferrari,silverstone,20080706,80370,79971,81706
172,hamilton,mclaren,silverstone,20080706,80288,79537,81835
173,heidfeld,bmw_sauber,silverstone,20080706,81022,79802,81873
174,alonso,renault,silverstone,20080706,80998,79992,82029
175,piquet_jr,renault,silverstone,20080706,80818,80115,82491
176,vettel,toro_rosso,silverstone,20080706,80318,80109,83251
177,massa,ferrari,silverstone,20080706,80676,80086,83305
178,kubica,bmw_sauber,silverstone,20080706,80444,79788,0
179,coulthard,red_bull,silverstone,20080706,81224,80174,0
180,glock,toyota,silverstone,20080706,80893,80274,0
181,bourdais,toro_rosso,silverstone,20080706,80584,80531,0
182,trulli,toyota,silverstone,20080706,81145,80601,0
183,nakajima,williams,silverstone,20080706,81407,81112,0
184,barrichello,honda,silverstone,20080706,81512,0,0
185,button,honda,silverstone,20080706,81631,0,0
186,rosberg,williams,silverstone,20080706,81668,0,0
187,sutil,force_india,silverstone,20080706,81786,0,0
188,fisichella,force_india,silverstone,20080706,81885,0,0
189,hamilton,mclaren,hockenheimring,20080720,75218,74603,75666
190,massa,ferrari,hockenheimring,20080720,74921,74747,75859
191,kovalainen,mclaren,hockenheimring,20080720,75476,74855,76143
192,trulli,toyota,hockenheimring,20080720,75560,75122,76191
193,alonso,renault,hockenheimring,20080720,75917,74943,76385
194,raikkonen,ferrari,hockenheimring,20080720,75201,74949,76389
195,kubica,bmw_sauber,hockenheimring,20080720,75985,75109,76521
196,webber,red_bull,hockenheimring,20080720,75900,75481,77014
197,vettel,toro_rosso,hockenheimring,20080720,75532,75420,77244
198,coulthard,red_bull,hockenheimring,20080720,75975,75338,77503
199,glock,toyota,hockenheimring,20080720,75560,75508,0
200,heidfeld,bmw_sauber,hockenheimring,20080720,75596,75581,0
201,rosberg,williams,hockenheimring,20080720,75863,75633,0
202,button,honda,hockenheimring,20080720,75993,75701,0
203,bourdais,toro_rosso,hockenheimring,20080720,75927,75858,0
204,nakajima,williams,hockenheimring,20080720,76083,0,0
205,piquet_jr,renault,hockenheimring,20080720,76189,0,0
206,barrichello,honda,hockenheimring,20080720,76246,0,0
207,sutil,force_india,hockenheimring,20080720,76657,0,0
208,fisichella,force_india,hockenheimring,20080720,76963,0,0
209,hamilton,mclaren,hungaroring,20080803,79376,79473,80899
210,kovalainen,mclaren,hungaroring,20080803,79945,79480,81140
211,massa,ferrari,hungaroring,20080803,79578,79068,81191
212,kubica,bmw_sauber,hungaroring,20080803,80053,79776,81281
213,glock,toyota,hungaroring,20080803,79980,79246,81326
214,raikkonen,ferrari,hungaroring,20080803,80006,79546,81516
215,alonso,renault,hungaroring,20080803,80229,79816,81698
216,webber,red_bull,hungaroring,20080803,80073,80046,81732
217,trulli,toyota,hungaroring,20080803,79942,79486,81767
218,piquet_jr,renault,hungaroring,20080803,80583,80131,82371
219,vettel,toro_rosso,hungaroring,20080803,80157,80144,0
220,button,honda,hungaroring,20080803,80888,80332,0
221,coulthard,red_bull,hungaroring,20080803,80505,80502,0
222,bourdais,toro_rosso,hungaroring,20080803,80640,80963,0
223,rosberg,williams,hungaroring,20080803,80748,0,0
224,heidfeld,bmw_sauber,hungaroring,20080803,81045,0,0
225,nakajima,williams,hungaroring,20080803,81085,0,0
226,barrichello,honda,hungaroring,20080803,81332,0,0
227,fisichella,force_india,hungaroring,20080803,81670,0,0
228,sutil,force_india,hungaroring,20080803,82113,0,0
229,massa,ferrari,valencia,20080824,98176,97859,98989
230,hamilton,mclaren,valencia,20080824,98464,97954,99199
